English,Polski
sorry,Przepraszam
where,gdzie
what's,co
let,pozwolić
thing,rzecz
am,jestem
maybe,może
down,na dół
man,człowiek
has,ma
uh,uh
very,bardzo
by,przez
there's,jest
should,powinien
anything,byle co
said,powiedziany
much,dużo
any,każdy
life,życie
even,parzysty
off,poza
please,Proszę
doing,robić
thank,podziękować
give,dać
only,tylko
thought,myśl
help,Wsparcie
two,dwa
talk,rozmowa
people,ludzie
god,Bóg
still,nadal
wait,czekać
into,w
find,odnaleźć
nothing,nic
again,jeszcze raz
things,rzeczy
let's,niech
doesn't,nie
call,połączenie
told,powiedział
great,wspaniały
before,przed
better,lepszy
ever,zawsze
night,noc
than,niż
away,z dala
first,pierwszy
believe,uwierzyć
other,inny
feel,czuć
everything,wszystko
work,praca
you've,masz
fine,w porządku
home,Dom
after,po
last,"ostatni, ubiegły, zeszły"
these,te
day,dzień
keep,trzymać
does,robi
put,położyć
around,na około
stop,zatrzymać
they're,oni
I'd,ID
guy,chłopak
long,długo
isn't,nie jest
always,zawsze
listen,słuchać
wanted,chciał
Mr.,Pan.
guys,faceci
huh,huh
those,te
big,duży
lot,los
happened,stało się
thanks,dzięki
won't,przyzwyczajenie
trying,próbować
kind,uprzejmy
wrong,źle
through,przez
talking,mówić
made,zrobiony
new,Nowy
being,istota
guess,odgadnąć
hi,cześć
care,opieka
bad,zły
mom,Mamo
remember,Zapamiętaj
getting,coraz
we'll,dobrze
together,razem
dad,tata
leave,wychodzić
mother,matka
place,miejsce
understand,Rozumiesz
wouldn't,nie będzie
actually,tak właściwie
hear,słyszeć
baby,kochanie
nice,miły
father,ojciec
else,jeszcze
stay,zostać
done,gotowy
wasn't,nie było
their,ich
course,kierunek
might,moc
mind,umysł
every,każdy
enough,dość
try,próbować
hell,piekło
came,przyszło
someone,ktoś
you'll,będziesz
own,posiadać
family,rodzina
whole,cały
another,inne
house or House,dom lub dom
Jack or jack,Jack lub jack
yourself,siebie
idea,pomysł
ask,zapytać
best,Najlepsza
must,musieć
coming,przyjście
old,stary
looking,poszukuje
woman,kobieta
hello,cześć
which,który
years,roku
room,Pokój
money,pieniądze
left,lewo
knew,wiedział
tonight,dzisiejszej nocy
real,real
son,syn
hope,nadzieja
name,Nazwa
same,podobnie
went,poszedł
um,um
hmm,hmm
happy,szczęśliwy
pretty,ładny
saw,widział
girl,dziewczynka
sir,Pan
show,pokazać
friend,przyjaciel
already,już
saying,powiedzenie
may or May,"może,"
next,Kolejny
three,trzy
job,praca
problem,problem
minute,minuta
found,znaleziony
world,świat
thinking,myślący
haven't,nie ma
heard,słyszał
honey,kochanie
matter,materia
myself,siebie
couldn't,nie mógł
exactly,dokładnie
having,mający
ah,ah
probably,prawdopodobnie
happen,zdarzyć
we've,mamy
hurt,ból
boy,chłopiec
both,obie
while,podczas
dead,nie żyje
gotta,musieć
alone,sam
since,od
excuse,pretekst
start,początek
kill,zabić
hard,ciężko
you'd,Można by
today,dzisiaj
car,samochód
ready,gotowy
until,aż do
without,bez
whatever,cokolwiek
wants,pragnienia
hold,trzymać
wanna,chce
yet,jeszcze
seen,widziany
deal,rozdać
took,wzięła
once,pewnego razu
gone,odszedł
called,nazywa
morning,ranek
supposed,domniemany
friends,znajomych
head,głowa
stuff,rzeczy
most,większość
used,używany
worry,martwić się
second,druga
part,część
live,relacja na żywo
truth,prawda
school,szkoła
face,Twarz
forget,zapomnieć
TRUE,PRAWDZIWE
business,biznes
each,każdy
cause,przyczyna
soon,wkrótce
knows,wie
few,mało
telling,wymowny
wife,żona
who's,kto
use,posługiwać się
chance,szansa
run,biegać
move,ruszaj się
anyone,ktoś
person,osoba
bye,PA
J.,JOT.
somebody,ktoś
Dr. or dr.,Dr lub dr.
heart,serce
such,taki
miss,tęsknić
married,żonaty
point,punkt
later,później
making,zrobienie
meet,spotykać się
anyway,tak czy inaczej
many,wiele
phone,telefon
reason,powód
damn,cholera
lost,Stracony
looks,wygląd
bring,przynieść
case,walizka
turn,skręcać
wish,życzenie
tomorrow,jutro
kids,Dzieci
trust,zaufanie
check,czek
change,zmiana
end,koniec
late,późno
anymore,więcej
five,pięć
least,najmniej
town,miasto
aren't,nie są
ha,ha
working,pracujący
year,rok
makes,marki
taking,nabierający
means,znaczy
brother,brat
play,grać
hate,nienawidzić
ago,temu
says,mówi
beautiful,piękny
gave,dał
fact,fakt
crazy,zwariowany
party,przyjęcie
sit,siedzieć
open,otwarty
afraid,przestraszony
between,pomiędzy
important,ważny
rest,reszta
fun,zabawa
kid,dziecko
word,słowo
watch,zegarek
glad,zadowolony
everyone,wszyscy
days,dni
sister,siostra
minutes,minuty
everybody,wszyscy
bit,kawałek
couple,para
whoa,whoa
either,zarówno
Mrs.,Pani.
feeling,uczucie
daughter,córka
wow,łał
gets,dostaje
asked,zapytał
under,pod
break,złamać
promise,obietnica
door,drzwi
set,zestaw
close,blisko
hand,dłoń
easy,łatwo
question,pytanie
doctor,lekarz
tried,wypróbowany
far,daleko
walk,spacerować
needs,wymagania
trouble,kłopot
mine,mój
though,chociaż
times,czasy
different,różne
killed,zabity
hospital,szpital
anybody,ktoś
Sam or SAM,Sam lub SAM
alright,w porządku
wedding,ślub
shut,zamknąć
able,zdolny
die,umierać
perfect,idealny
police,Policja
stand,stoisko
comes,pochodzi
hit,trafienie
story,fabuła
ya,ya
mm,mm
waiting,Czekanie
dinner,obiad
against,przeciwko
funny,zabawny
husband,mąż
almost,prawie
stupid,głupi
pay,zapłacić
answer,odpowiedź
four,cztery
office,gabinet
cool,chłodny
eyes,oczy
news,Aktualności
child,dziecko
shouldn't,nie powinien
half,pół
side,bok
yours,Twój
moment,za chwilę
sleep,sen
read,czytać
where's,gdzie
started,zaczęło się
young,młody
men,mężczyźni
sounds,odgłosy
sonny or Sonny,Sonny lub Sonny
lucky,Szczęściarz
pick,wybierać
sometimes,czasami
em,em
bed,łóżko
also,również
date,data
line,linia
plan,plan
hours,godziny
lose,stracić
fire,ogień
free,wolny
hands,ręce
serious,poważny
Leo,Lew
shit,gówno
behind,za
inside,wewnątrz
high,wysoki
ahead,przed siebie
week,tydzień
wonderful,wspaniale
T.,T.
