English,Polski
sorry,Przepraszam
where,gdzie
what's,co
let,pozwoliæ
thing,rzecz
am,jestem
maybe,mo¿e
down,na dó³
man,cz³owiek
has,ma
uh,uh
very,bardzo
by,przez
there's,jest
should,powinien
anything,byle co
said,powiedziany
much,du¿o
any,ka¿dy
life,¿ycie
even,parzysty
please,Proszê
doing,robiæ
thank,podziêkowaæ
give,daæ
only,tylko
thought,myœl
help,Wsparcie
two,dwa
talk,rozmowa
people,ludzie
still,nadal
wait,czekaæ
into,w
find,odnaleŸæ
nothing,nic
again,jeszcze raz
things,rzeczy
let's,niech
doesn't,nie
call,po³¹czenie
told,powiedzia³
great,wspania³y
before,przed
better,lepszy
ever,zawsze
night,noc
away,z dala
first,pierwszy
believe,uwierzyæ
other,inny
feel,czuæ
everything,wszystko
work,praca
you've,masz
fine,w porz¹dku
home,Dom
after,po
last,"ostatni, ubieg³y, zesz³y"
these,te
day,dzieñ
keep,trzymaæ
does,robi
put,po³o¿yæ
around,na oko³o
stop,zatrzymaæ
they're,oni
I'd,ID
guy,ch³opak
long,d³ugo
isn't,nie jest
always,zawsze
listen,s³uchaæ
wanted,chcia³
Mr.,Pan.
guys,faceci
huh,huh
those,te
big,du¿y
lot,los
happened,sta³o siê
thanks,dziêki
won't,przyzwyczajenie
trying,próbowaæ
kind,uprzejmy
wrong,Ÿle
through,przez
talking,mówiæ
made,zrobiony
new,Nowy
being,istota
guess,odgadn¹æ
hi,czeœæ
care,opieka
bad,z³y
mom,Mamo
remember,Zapamiêtaj
we'll,dobrze
together,razem
dad,tata
leave,wychodziæ
mother,matka
place,miejsce
understand,Rozumiesz
wouldn't,nie bêdzie
actually,tak w³aœciwie
hear,s³yszeæ
baby,kochanie
nice,mi³y
father,ojciec
else,jeszcze
stay,zostaæ
done,gotowy
wasn't,nie by³o
their,ich
course,kierunek
might,moc
mind,umys³
every,ka¿dy
enough,doœæ
try,próbowaæ
hell,piek³o
came,przysz³o
someone,ktoœ
you'll,bêdziesz
own,posiadaæ
family,rodzina
whole,ca³y
another,inne
house or House,dom lub dom
Jack or jack,Jack lub jack
yourself,siebie
idea,pomys³
ask,zapytaæ
best,Najlepsza
must,musieæ
coming,przyjœcie
old,stary
looking,poszukuje
woman,kobieta
hello,czeœæ
which,który
years,roku
room,Pokój
money,pieni¹dze
left,lewo
knew,wiedzia³
tonight,dzisiejszej nocy
real,real
son,syn
hope,nadzieja
name,Nazwa
same,podobnie
went,poszed³
um,um
hmm,hmm
happy,szczêœliwy
pretty,³adny
saw,widzia³
girl,dziewczynka
sir,Pan
show,pokazaæ
friend,przyjaciel
already,ju¿
saying,powiedzenie
may or May,"mo¿e,"
next,Kolejny
three,trzy
job,praca
problem,problem
minute,minuta
found,znaleziony
world,œwiat
thinking,myœl¹cy
haven't,nie ma
heard,s³ysza³
honey,kochanie
matter,materia
myself,siebie
couldn't,nie móg³
exactly,dok³adnie
having,maj¹cy
ah,ah
probably,prawdopodobnie
happen,zdarzyæ
we've,mamy
hurt,ból
boy,ch³opiec
both,obie
while,podczas
gotta,musieæ
alone,sam
since,od
excuse,pretekst
start,pocz¹tek
kill,zabiæ
hard,ciê¿ko
you'd,Mo¿na by
today,dzisiaj
car,samochód
ready,gotowy
until,a¿ do
without,bez
whatever,cokolwiek
wants,pragnienia
hold,trzymaæ
wanna,chce
yet,jeszcze
seen,widziany
deal,rozdaæ
took,wziê³a
once,pewnego razu
gone,odszed³
called,nazywa
morning,ranek
supposed,domniemany
friends,znajomych
head,g³owa
stuff,rzeczy
most,wiêkszoœæ
used,u¿ywany
worry,martwiæ siê
second,druga
part,czêœæ
live,relacja na ¿ywo
truth,prawda
school,szko³a
face,Twarz
forget,zapomnieæ
TRUE,PRAWDZIWE
business,biznes
each,ka¿dy
cause,przyczyna
soon,wkrótce
few,ma³o
telling,wymowny
wife,¿ona
who's,kto
use,pos³ugiwaæ siê
chance,szansa
run,biegaæ
move,ruszaj siê
anyone,ktoœ
person,osoba
bye,PA
J.,JOT.
somebody,ktoœ
Dr. or dr.,Dr lub dr.
heart,serce
such,taki
miss,têskniæ
married,¿onaty
point,punkt
later,póŸniej
making,zrobienie
meet,spotykaæ siê
anyway,tak czy inaczej
phone,telefon
reason,powód
damn,cholera
lost,Stracony
looks,wygl¹d
bring,przynieœæ
case,walizka
turn,skrêcaæ
wish,¿yczenie
trust,zaufanie
check,czek
change,zmiana
end,koniec
late,póŸno
anymore,wiêcej
five,piêæ
least,najmniej
town,miasto
aren't,nie s¹
ha,ha
working,pracuj¹cy
year,rok
taking,nabieraj¹cy
means,znaczy
brother,brat
play,graæ
hate,nienawidziæ
ago,temu
says,mówi
beautiful,piêkny
gave,da³
fact,fakt
crazy,zwariowany
party,przyjêcie
sit,siedzieæ
open,otwarty
afraid,przestraszony
between,pomiêdzy
important,wa¿ny
rest,reszta
fun,zabawa
kid,dziecko
word,s³owo
watch,zegarek
glad,zadowolony
everyone,wszyscy
days,dni
sister,siostra
minutes,minuty
bit,kawa³ek
couple,para
either,zarówno
Mrs.,Pani.
feeling,uczucie
daughter,córka
wow,³a³
gets,dostaje
asked,zapyta³
under,pod
break,z³amaæ
promise,obietnica
door,drzwi
set,zestaw
close,blisko
hand,d³oñ
easy,³atwo
question,pytanie
doctor,lekarz
tried,wypróbowany
far,daleko
walk,spacerowaæ
needs,wymagania
trouble,k³opot
mine,mój
though,chocia¿
times,czasy
different,ró¿ne
killed,zabity
hospital,szpital
anybody,ktoœ
Sam or SAM,Sam lub SAM
alright,w porz¹dku
wedding,œlub
shut,zamkn¹æ
able,zdolny
die,umieraæ
perfect,idealny
police,Policja
stand,stoisko
comes,pochodzi
hit,trafienie
story,fabu³a
ya,ya
waiting,Czekanie
dinner,obiad
against,przeciwko
funny,zabawny
husband,m¹¿
almost,prawie
stupid,g³upi
pay,zap³aciæ
answer,odpowiedŸ
four,cztery
office,gabinet
cool,ch³odny
eyes,oczy
news,Aktualnoœci
child,dziecko
shouldn't,nie powinien
half,pó³
side,bok
yours,Twój
moment,za chwilê
sleep,sen
read,czytaæ
young,m³ody
men,mê¿czyŸni
sounds,odg³osy
